hour,ETS RMSE F vs B,SARIMAX RMSE F vs B,XGBoost RMSE F vs B,LSTM multistep F vs B
01:00:00,"0,00","0,39","0,83","0,12"
01:15:00,"0,00","0,32","0,38","0,12"
01:30:00,"0,00","0,04","0,47","0,12"
01:45:00,"0,00","0,12","0,23","0,12"
02:00:00,"0,00","0,12","0,19","0,12"
02:15:00,"0,12","0,27","0,29","0,12"
02:30:00,"0,00","0,27","0,30","0,12"
02:45:00,"0,00","0,05","0,22","0,12"
03:00:00,"0,00","0,04","0,41","0,12"
03:15:00,"0,00","0,24","0,26","0,12"
03:30:00,"0,00","0,23","0,33","0,12"
03:45:00,"0,00","0,23","0,34","0,12"
04:00:00,"0,00","0,23","0,43","0,12"
04:15:00,"0,00","0,23","0,26","0,12"
04:30:00,"0,00","0,01","0,09","0,12"
04:45:00,"0,00","0,00","0,40","0,12"
05:00:00,"0,00","0,09","0,22","0,12"
05:15:00,"0,00","0,04","0,22","0,12"
05:30:00,"0,00","0,06","0,50","0,12"
05:45:00,"0,00","0,07","0,46","0,12"
06:00:00,"0,00","0,06","0,45","0,12"
06:15:00,"0,00","0,13","0,42","0,12"
06:30:00,"0,71","0,41","0,38","0,75"
06:45:00,"0,37","0,43","0,24","1,10"
07:00:00,"0,70","1,13","2,46","0,19"
07:15:00,"1,37","1,08","1,54","1,35"
07:30:00,"0,99","1,21","1,65","1,74"
07:45:00,"1,66","1,91","1,01","1,60"
08:00:00,"2,19","1,35","1,31","1,39"
08:15:00,"1,70","2,56","2,48","0,61"
08:30:00,"2,44","2,19","4,46","1,54"
08:45:00,"2,24","2,66","2,21","2,87"
09:00:00,"3,48","6,77","1,64","3,43"
09:15:00,"2,77","5,20","5,95","2,94"
09:30:00,"0,92","1,52","9,54","1,45"
09:45:00,"2,55","3,69","2,33","2,08"
10:00:00,"8,01","7,35","8,53","7,37"
10:15:00,"1,01","2,46","10,40","1,28"
10:30:00,"1,28","3,07","2,13","1,60"
10:45:00,"2,52","16,76","0,90","1,15"
11:00:00,"2,82","4,35","1,30","2,14"
11:15:00,"0,21","1,24","1,09","0,13"
11:30:00,"0,94","1,62","0,94","0,95"
11:45:00,"1,31","1,98","1,14","1,30"
12:00:00,"0,97","1,81","1,07","0,96"
12:15:00,"3,67","5,91","1,09","3,83"
12:30:00,"4,25","4,45","1,22","3,63"
12:45:00,"1,49","1,83","2,95","1,49"
13:00:00,"0,82","2,50","0,78","0,63"
13:15:00,"6,83","6,93","6,34","6,03"
13:30:00,"9,52","11,44","9,81","9,12"
13:45:00,"1,55","2,08","2,46","1,78"
14:00:00,"1,80","2,64","4,26","2,28"
14:15:00,"2,58","2,64","1,12","2,64"
14:30:00,"2,24","1,26","4,20","2,41"
14:45:00,"3,09","2,22","4,91","2,91"
15:00:00,"1,10","4,55","3,82","1,51"
15:15:00,"1,12","3,02","1,00","0,97"
15:30:00,"7,21","3,97","1,95","2,09"
15:45:00,"3,12","5,06","2,12","1,59"
16:00:00,"3,27","2,39","1,86","0,74"
16:15:00,"5,95","1,24","0,59","1,30"
16:30:00,"0,91","1,34","0,82","2,71"
16:45:00,"7,24","1,53","0,65","0,98"
17:00:00,"0,62","1,05","0,61","0,62"
17:15:00,"2,85","4,31","2,84","2,86"
17:30:00,"3,79","3,89","4,95","4,27"
17:45:00,"1,37","1,24","4,92","1,36"
18:00:00,"0,55","1,45","2,26","0,70"
18:15:00,"1,37","2,49","1,28","1,29"
18:30:00,"4,86","6,90","1,96","4,35"
18:45:00,"2,79","2,36","2,54","2,79"
19:00:00,"2,90","2,50","2,45","2,30"
19:15:00,"1,53","3,65","1,14","0,93"
19:30:00,"0,75","1,17","1,16","1,33"
19:45:00,"0,88","0,71","0,83","0,44"
20:00:00,"1,72","2,21","1,25","1,25"
20:15:00,"1,25","1,46","1,83","1,77"
20:30:00,"1,05","1,09","1,68","1,60"
20:45:00,"1,91","2,51","1,79","1,98"
21:00:00,"0,58","0,85","1,53","0,63"
21:15:00,"0,93","53,03","1,51","0,99"
21:30:00,"0,81","1,89","1,30","0,75"
21:45:00,"0,60","1,31","1,36","0,55"
22:00:00,"0,87","0,96","0,88","0,73"
22:15:00,"1,32","0,49","0,58","0,37"
22:30:00,"0,42","0,31","0,81","0,12"
22:45:00,"0,25","0,67","0,52","0,27"
23:00:00,"0,46","0,74","0,71","0,21"
23:15:00,"0,01","0,33","0,16","0,12"
